appid,name,overall_similarity,best_community_similarity,best_community
370060,Coffee Shop Tycoon,0.17198686424857237,0.4821052759930597,12
368390,The Darkside Detective,0.2669889297155078,0.4819826732259755,5
1418020,Tavern of Gods,0.19253035076820052,0.48171728750960097,8
2441120,Viking Heroes 4,0.19679018830440415,0.48168506452669413,1
35000,Mini Ninjas,0.28736945964861704,0.48152800939860846,6
1160790,The Legend of Dark Witch Renovation,0.18158542329535052,0.4814405274220792,1
433300,Marvel: Ultimate Alliance,0.15591005725298412,0.48132640991835907,11
733950,Just One Line Demo,0.17302614952481807,0.48132086689955844,10
1650860,Chambers of Devious Design,0.21678717396804542,0.4810839190319368,12
3455450,Useless Princess and the Village Renovation,0.19087279531401294,0.4809742761634073,10
251850,Master Reboot,0.15950984156555345,0.4805735089983207,11
2715650,Humans are not that against Lizardwomen,0.15725540658515483,0.4805080126447497,10
331480,Pinstripe,0.2352437499810249,0.48050617932295664,1
398850,Epistory - Typing Chronicles,0.2511892740737416,0.48044235870760427,4
449710,REDCON,0.18312479041982616,0.4804324844969483,12
415740,OmniBus,0.17434113097546927,0.4804231799742743,8
286000,Tooth and Tail,0.23906382845608348,0.48020378693176385,1
240970,Half Minute Hero: The Second Coming,0.2951674014964482,0.4800316025505709,11
794540,Neo Cab,0.2808462692036766,0.47954227712236047,10
329000,Data Hacker: Corruption,0.16526859866208674,0.47947596341031035,10
1141550,CUCKOLD SIMULATOR: Life as a Beta Male Cuck,0.1595773381678007,0.4780556314219994,8
2981530,索罗灵魂之戒—神界篇,0.1975993840783818,0.4778027689338714,10
204860,Men of War: Condemned Heroes,0.19960485498096395,0.47740075424862277,11
1457630,幻想三国志2,0.17668034391352183,0.4769621794803575,3
1049280,Pilgrims,0.2516225769108066,0.47694369637383466,5
1286330,WhiteLily 2：梦醒少女,0.20275140865620842,0.4767174505914861,10
300620,Flyhunter Origins,0.17367923406464492,0.47628655497610645,8
467220,Dyna Bomb,0.14519363800359583,0.4761922787316378,8
776030,Choice of the Vampire: The Fall of Memphis Demo,0.15982549523511727,0.47616975474477896,10
557400,Midas Gold Plus,0.1671769373520935,0.4761199167223717,10
552000,Blowhards,0.14838522517636815,0.4760860197545875,8
390470,Divine Slice of Life - Soundtrack,0.13223589946907738,0.475990303042824,8
1406850,The Legend of Tianding,0.24907539863298378,0.4758345727412337,9
366320,Seasons after Fall,0.31968500968517505,0.4758254932401248,13
4100,Poker Superstars II,0.17668034391352183,0.47520032629799946,12
3273240,DYNASTY WARRIORS: ORIGINS Demo,0.21124127750531987,0.47473267689339776,9
1158420,SimCasino,0.19002983513371738,0.4746167734909972,12
514830,Stifled,0.19282815905708484,0.4744231850004429,8
1621760,Decision: Red Daze,0.2035995571639081,0.47440306197686216,11
2738380,Internet Cafe & Supermarket Simulator 2024,0.2053161083279755,0.47439605628074294,10
1354990,Dungeons of Voidria,0.20235689810883412,0.47421949010519787,11
2868430,XiuzhenWorld / 修真世界,0.17668034391352183,0.47413845119097225,8
2725200,Prisoners,0.1963288057605513,0.47408930780696207,1
2575060,Lively Chair Simulator,0.16702116836409522,0.47407422837785446,12
1849000,SEX with HITLER,0.21678717396804542,0.4738502353599232,8
1510070,Cliff & Field Tower Defense,0.19375622470824766,0.4737500635154075,3
919370,Overdungeon,0.1648092609243154,0.47373541337987585,3
2488340,Dream Town Island,0.1856037981456638,0.47372219112830305,12
3694360,How 2 Escape: Lost Submarine Demo + Companion App,0.21678717396804542,0.4736760878492463,8
3323590,Draft Day Sports: Pro Football 2025,0.17668034391352183,0.47361302471069794,12
3154850,Draft Day Sports: College Football 2025,0.17668034391352183,0.47361302471069794,12
1519090,Welcome to ParadiZe,0.28181983029857915,0.4735272870203758,9
13530,Prince of Persia: The Two Thrones,0.20333012693932961,0.4734525155365409,0
587100,Ys SEVEN,0.2841824425972062,0.473446397162502,9
612510,The Far Frontier,0.17707209659919895,0.47316578352597477,12
1423370,NOeSIS02-羽化,0.15445812169129963,0.4731199830656449,10
200190,Sideway,0.2852218764090172,0.47308738193759775,1
525680,Deisim,0.2059086354851852,0.4730637134927815,12
1831320,Rescue Team: Power Eaters,0.20463944649666643,0.4729549243757272,3
2776940,Echoes of Yi : Samsara,0.21678717396804542,0.47273578589827453,11
1755940,PlateUp! Demo,0.21610587518157723,0.4726744193726982,3
277890,Shantae: Risky's Revenge - Director's Cut,0.2150503817039261,0.472513417530782,11
254480,Obscure 2,0.21061544561802462,0.47213706563874047,11
1457620,幻想三国志,0.17668034391352183,0.47207817459635265,3
2690700,Golden Rails: Harvest of Riddles,0.1745330823497905,0.472050943874648,3
1898290,LEGO® Bricktales,0.2659760815530268,0.47193344419770195,13
745010,Mechanic Miner,0.2035995571639081,0.47191992623790946,11
1173200,Metal Unit,0.2035995571639081,0.47191992623790946,11
1608450,Hellslave,0.2035995571639081,0.47191992623790946,11
