appid,community_id,cosine_similarity
716390,9,0.020713493544139233
716390,10,-0.03883211526632291
716390,11,0.020713493544139233
716390,12,-0.03883211526632291
716390,13,-0.03883211526632291
1089790,0,-0.10726171669384021
1089790,1,-0.18674685879326064
1089790,2,-0.10726171669384021
1089790,3,-0.10726171669384021
1089790,4,-0.10726171669384021
1089790,5,-0.10726171669384021
1089790,6,-0.10726171669384021
1089790,7,-0.10726171669384021
1089790,8,-0.10726171669384021
1089790,9,-0.18674685879326064
1089790,10,-0.10726171669384021
1089790,11,-0.18674685879326064
1089790,12,-0.10726171669384021
1089790,13,-0.10726171669384021
491100,0,-0.26896524057251303
491100,1,-0.18826654216394526
491100,2,-0.2689652405725131
491100,3,-0.2689652405725131
491100,4,-0.2689652405725131
491100,5,-0.2689652405725131
491100,6,-0.2689652405725131
491100,7,-0.2689652405725131
491100,8,-0.2689652405725131
491100,9,-0.18826654216394526
491100,10,-0.2689652405725131
491100,11,-0.18826654216394526
491100,12,-0.2689652405725131
491100,13,-0.2689652405725131
130,0,-0.17679329204533395
130,1,-0.10654831166186485
130,2,-0.17679329204533398
130,3,-0.17679329204533398
130,4,-0.17679329204533398
130,5,-0.17679329204533398
130,6,-0.17679329204533398
130,7,-0.17679329204533398
130,8,-0.17679329204533398
130,9,-0.10654831166186485
130,10,-0.17679329204533398
130,11,-0.10654831166186485
130,12,-0.17679329204533398
130,13,-0.17679329204533398
496450,0,-0.0780890535624655
496450,1,-0.00011044896022191497
496450,2,-0.0780890535624655
496450,3,-0.0780890535624655
496450,4,-0.0780890535624655
496450,5,-0.0780890535624655
496450,6,-0.0780890535624655
496450,7,-0.0780890535624655
496450,8,-0.0780890535624655
496450,9,-0.00011044896022191497
496450,10,-0.0780890535624655
496450,11,-0.00011044896022191497
496450,12,-0.0780890535624655
496450,13,-0.0780890535624655
1135260,0,-0.1828087493381645
1135260,1,-0.2151817964203496
1135260,2,-0.18280874933816446
1135260,3,-0.18280874933816446
1135260,4,-0.18280874933816446
1135260,5,-0.18280874933816446
1135260,6,-0.18280874933816446
1135260,7,-0.18280874933816446
1135260,8,-0.18280874933816446
1135260,9,-0.2151817964203496
1135260,10,-0.18280874933816446
1135260,11,-0.2151817964203496
1135260,12,-0.18280874933816446
1135260,13,-0.18280874933816446
22700,0,-0.04776993265209361
22700,1,0.043929362551207274
22700,2,-0.04776993265209363
22700,3,-0.04776993265209363
22700,4,-0.04776993265209363
22700,5,-0.04776993265209363
22700,6,-0.04776993265209363
22700,7,-0.04776993265209363
22700,8,-0.04776993265209363
22700,9,0.043929362551207274
22700,10,-0.04776993265209363
22700,11,0.043929362551207274
22700,12,-0.04776993265209363
22700,13,-0.04776993265209363
655360,0,-0.19476719094099582
655360,1,-0.12526894392877438
655360,2,-0.19476719094099587
655360,3,-0.19476719094099587
655360,4,-0.19476719094099587
655360,5,-0.19476719094099587
655360,6,-0.19476719094099587
655360,7,-0.19476719094099587
655360,8,-0.19476719094099587
655360,9,-0.12526894392877438
655360,10,-0.19476719094099587
655360,11,-0.12526894392877438
655360,12,-0.19476719094099587
655360,13,-0.19476719094099587
21100,0,-0.22007789755120588
21100,1,-0.16666845320794635
21100,2,-0.22007789755120588
21100,3,-0.22007789755120588
21100,4,-0.22007789755120588
21100,5,-0.22007789755120588
21100,6,-0.22007789755120588
21100,7,-0.22007789755120588
21100,8,-0.22007789755120588
21100,9,-0.16666845320794635
21100,10,-0.22007789755120588
21100,11,-0.16666845320794635
21100,12,-0.22007789755120588
21100,13,-0.22007789755120588
3572870,0,-0.19969643499013445
3572870,1,-0.13363809664837847
3572870,2,-0.1996964349901345
3572870,3,-0.1996964349901345
3572870,4,-0.1996964349901345
3572870,5,-0.1996964349901345
3572870,6,-0.1996964349901345
3572870,7,-0.1996964349901345
3572870,8,-0.1996964349901345
3572870,9,-0.13363809664837847
3572870,10,-0.1996964349901345
3572870,11,-0.13363809664837847
3572870,12,-0.1996964349901345
3572870,13,-0.1996964349901345
1356670,0,-0.07896299103275997
1356670,1,-0.13249663081891885
1356670,2,-0.07896299103275997
1356670,3,-0.07896299103275997
1356670,4,-0.07896299103275997
1356670,5,-0.07896299103275997
1356670,6,-0.07896299103275997
1356670,7,-0.07896299103275997
1356670,8,-0.07896299103275997
1356670,9,-0.13249663081891885
1356670,10,-0.07896299103275997
1356670,11,-0.13249663081891885
1356670,12,-0.07896299103275997
1356670,13,-0.07896299103275997
225000,0,-0.17357639455326337
225000,1,-0.12379001716703392
225000,2,-0.17357639455326332
225000,3,-0.17357639455326332
225000,4,-0.17357639455326332
225000,5,-0.17357639455326332
225000,6,-0.17357639455326332
225000,7,-0.17357639455326332
225000,8,-0.17357639455326332
225000,9,-0.12379001716703392
