appid,community_id,cosine_similarity
1100150,13,0.0058061156118479835
2412490,0,0.004627239078688855
2412490,1,0.0032563408286527427
2412490,2,0.004634722731642899
2412490,3,0.004678360184517024
2412490,4,0.00466248362869769
2412490,5,0.0046321625376422
2412490,6,0.00475386958453424
2412490,7,0.004735952974618416
2412490,8,0.0036944830566187563
2412490,9,0.0
2412490,10,0.005571171479385327
2412490,11,0.0033115543326905175
2412490,12,0.004721751849729845
2412490,13,0.004778070259677419
395860,0,0.0
395860,1,0.0019456448993353383
395860,2,0.0
395860,3,0.0
395860,4,0.0
395860,5,0.0
395860,6,0.0
395860,7,0.0
395860,8,0.0
395860,9,0.0
395860,10,0.0015023195051408153
395860,11,0.0019258017732764142
395860,12,0.0
395860,13,0.0
844850,0,0.0011487566796120905
844850,1,0.0006008985256520062
844850,2,0.0011456503123078617
844850,3,0.0011549269646201068
844850,4,0.0011484411207832363
844850,5,0.0011507711779722694
844850,6,0.0011721233048768655
844850,7,0.0011647969991751613
844850,8,0.0006817497118957969
844850,9,0.0
844850,10,0.001286950035325022
844850,11,0.0009297559311370425
844850,12,0.0011551867642601815
844850,13,0.0011766033307011243
529640,0,0.14656892976655697
529640,1,0.18913883310008123
529640,2,0.14607129988417242
529640,3,0.1425109129950903
529640,4,0.1438670038892414
529640,5,0.14623557238688575
529640,6,0.135483547672302
529640,7,0.13728114166203134
529640,8,0.15474429196259393
529640,9,0.2773500981126146
529640,10,0.1282159413379014
529640,11,0.18520147985964452
529640,12,0.13872489448723305
529640,13,0.13355451342477304
628040,0,0.0
628040,1,0.002602500189403277
628040,2,0.0
628040,3,0.0
628040,4,0.0
628040,5,0.0
628040,6,0.0
628040,7,0.0
628040,8,0.0
628040,9,0.0
628040,10,0.0020095068725073375
628040,11,0.0025759579671589482
628040,12,0.0
628040,13,0.0
1016770,0,0.00315940312385307
1016770,1,0.003261843597812601
1016770,2,0.0031448229804386845
1016770,3,0.003130377387378134
1016770,4,0.003117614599919213
1016770,5,0.003129076232495775
1016770,6,0.0032674429820355212
1016770,7,0.0032268453631553846
1016770,8,0.0018108753519575044
1016770,9,0.0
1016770,10,0.004124483082647965
1016770,11,0.0033171504050957096
1016770,12,0.003130039834635465
1016770,13,0.00324358890581391
915330,0,0.0
915330,1,0.01211155290857005
915330,2,0.0
915330,3,0.0
915330,4,0.0
915330,5,0.0
915330,6,0.0
915330,7,0.0
915330,8,0.0
915330,9,0.0
915330,10,0.009351872059647466
915330,11,0.01198803033196001
915330,12,0.0
915330,13,0.0
3169620,0,0.005518901036399105
3169620,1,0.012431935243971255
3169620,2,0.00550016329929473
3169620,3,0.005366100623641485
3169620,4,0.005417162819791119
3169620,5,0.00550634881000918
3169620,6,0.0051014924708436
3169620,7,0.005169179008152313
3169620,8,0.005826735820814249
3169620,9,0.010443330290785533
3169620,10,0.008928010836466395
3169620,11,0.01222952187494268
3169620,12,0.005223542023397089
3169620,13,0.005028856686950704
1700270,0,0.003930563430285697
1700270,1,0.00427158041519994
1700270,2,0.0039893663602352985
1700270,3,0.004144273087303378
1700270,4,0.004135907774976032
1700270,5,0.004024478611521902
1700270,6,0.00398065155808701
1700270,7,0.004040984168961078
1700270,8,0.005033816815389627
1700270,9,0.0
1700270,10,0.007176761857791862
1700270,11,0.004228015678038189
1700270,12,0.004260945775685486
1700270,13,0.004108759379116256
2743970,0,0.0076783574886360745
2743970,1,0.007927320520427765
2743970,2,0.007642923088851503
2743970,3,0.00760781568935036
2743970,4,0.007576798044301772
2743970,5,0.007604653467898021
2743970,6,0.007940928810378233
2743970,7,0.007842263645241303
2743970,8,0.004401004802050082
2743970,9,0.0
2743970,10,0.010023809663700138
2743970,11,0.008061733705838844
2743970,12,0.007606995328501214
2743970,13,0.007882955795346416
797400,0,0.0052033340556671024
797400,1,0.0009662219062284875
797400,2,0.0051340758957847555
797400,3,0.0051475123556329015
797400,4,0.00509226890778566
797400,5,0.005210355760729604
797400,6,0.005235326961598848
797400,7,0.005165123342652707
797400,8,0.0005364167171239972
797400,9,0.0
797400,10,0.004968342637474208
797400,11,0.0055942697022799215
797400,12,0.005035295468348039
797400,13,0.005228466863579945
1039960,0,0.013328603153096174
1039960,1,0.009133356620107353
1039960,2,0.013219572569638583
1039960,3,0.013197730565497843
1039960,4,0.013107942848203772
1039960,5,0.01326049613945686
1039960,6,0.013631110051645065
1039960,7,0.013456330472934399
1039960,8,0.005070558991572017
1039960,9,0.0
1039960,10,0.015483820946942853
1039960,11,0.014131824469897882
1039960,12,0.013079029654422522
1039960,13,0.01356453351959211
20530,0,0.004747134825779678
20530,1,0.005158997815394659
20530,2,0.004818154017194011
20530,3,0.005005242492384697
20530,4,0.0049951392931406186
20530,5,0.00486056081048218
20530,6,0.00480762872189941
20530,7,0.004880495384221579
20530,8,0.006079588215472339
20530,9,0.0
20530,10,0.008667728369155123
20530,11,0.0051063825390800744
20530,12,0.005146153838063143
20530,13,0.0049623508398473895
2473640,0,0.0071522953361333385
2473640,1,0.004901073518875217
2473640,2,0.007093788159904711
2473640,3,0.007082067467004395
2473640,4,0.007033886253694337
2473640,5,0.007115748259863212
2473640,6,0.007314624325509603
2473640,7,0.0072208354152010785
2473640,8,0.002720925442107191
2473640,9,0.0
2473640,10,0.008308812189266625
2473640,11,0.007583313951666898
