appid,best_community_idx,best_community_id,similarity,above_threshold
1132190,7,7,0.25668320059776306,False
2294630,2,2,0.291628897190094,False
370350,28,28,0.03944867104291916,False
2371130,2,2,0.5252156257629395,False
684270,2,2,0.47707611322402954,False
776030,36,36,0.5287166237831116,False
1167550,27,27,0.42971113324165344,False
1588340,7,7,0.5485209822654724,False
1402480,27,27,0.5368177890777588,False
406220,27,27,0.6451333165168762,False
1620380,2,2,0.4489953815937042,False
884080,2,2,0.6972091197967529,False
1069690,23,23,0.4357868432998657,False
1901340,23,23,0.3741925358772278,False
823230,21,21,0.4177621304988861,False
1443440,1,1,0.4668806195259094,False
1390520,27,27,0.37866348028182983,False
262230,11,11,0.5972058773040771,False
1268110,36,36,0.4893566370010376,False
298520,30,30,0.46733522415161133,False
951640,2,2,0.7522098422050476,True
1536420,11,11,0.13732565939426422,False
292910,23,23,0.5054101347923279,False
879050,27,27,0.6239563226699829,False
867590,27,27,0.7667460441589355,True
404860,2,2,0.6254282593727112,False
322460,23,23,0.23751920461654663,False
2905790,2,2,0.5081332325935364,False
560570,2,2,0.7217957377433777,True
1233270,27,27,0.3815142810344696,False
329000,36,36,0.6552084684371948,False
889600,27,27,0.28116118907928467,False
370280,2,2,0.529928982257843,False
377350,2,2,0.4444483518600464,False
580560,2,2,0.7328749895095825,True
2111020,21,21,0.5402711033821106,False
1077320,2,2,0.5571884512901306,False
2605980,36,36,0.7330322265625,True
2218970,27,27,0.5152414441108704,False
858040,28,28,0.03944867104291916,False
2710900,2,2,0.5606973171234131,False
1570830,11,11,0.4707198739051819,False
3491570,9,9,0.44412511587142944,False
1326880,23,23,0.5130900740623474,False
97120,21,21,0.5427308082580566,False
819790,36,36,0.4772895276546478,False
770100,36,36,0.39279839396476746,False
1373510,23,23,0.4358678460121155,False
1419870,23,23,0.5539588928222656,False
2179290,2,2,0.6471461653709412,False
3302860,2,2,0.45716729760169983,False
1076880,11,11,0.41973617672920227,False
1171270,27,27,0.4786456227302551,False
2398180,2,2,0.538112998008728,False
3158480,2,2,0.5678786039352417,False
39650,30,30,0.5165441632270813,False
1175190,23,23,0.6614311933517456,False
365620,21,21,0.49127426743507385,False
1402020,2,2,0.5182313323020935,False
2130460,31,31,0.4680189788341522,False
554560,2,2,0.6115313768386841,False
1034810,36,36,0.575280487537384,False
440430,7,7,0.4839634895324707,False
913720,36,36,0.4575729966163635,False
1072390,2,2,0.5642970204353333,False
1829520,27,27,0.49041882157325745,False
955870,11,11,0.5323745608329773,False
397420,2,2,0.5485457181930542,False
1567860,2,2,0.44690245389938354,False
977210,27,27,0.6779998540878296,False
655290,2,2,0.6188128590583801,False
2603020,21,21,0.5120461583137512,False
2337630,21,21,0.2368786782026291,False
965010,11,11,0.4372590482234955,False
1532690,27,27,0.4506274461746216,False
726360,23,23,0.5513520836830139,False
333600,27,27,0.402366042137146,False
632350,27,27,0.34336698055267334,False
325090,27,27,0.5653175711631775,False
24860,23,23,0.492256760597229,False
1324270,21,21,0.5185313820838928,False
216250,23,23,0.4534515142440796,False
809950,2,2,0.6118447780609131,False
2717850,2,2,0.48334968090057373,False
2272250,2,2,0.45667076110839844,False
2201710,27,27,0.49577492475509644,False
353740,2,2,0.6399240493774414,False
792000,7,7,0.5402235984802246,False
1335530,2,2,0.5207628607749939,False
950050,2,2,0.45336705446243286,False
732230,2,2,0.33455681800842285,False
754500,21,21,0.4391387104988098,False
620220,27,27,0.5372079610824585,False
730830,1,1,0.5471982955932617,False
3501610,21,21,0.5657259821891785,False
1283190,7,7,0.45972853899002075,False
2687190,2,2,0.3678446114063263,False
340600,36,36,0.37390992045402527,False
210470,30,30,0.4661153554916382,False
878670,23,23,0.5700424313545227,False
3300850,27,27,0.6687720417976379,False
1667250,2,2,0.3344435393810272,False
3457180,2,2,0.5104829668998718,False
353190,32,32,0.7652077674865723,True
2074910,11,11,0.4845016598701477,False
3275600,23,23,0.5360903143882751,False
460470,2,2,0.3471868634223938,False
2800900,21,21,0.47587624192237854,False
2334170,2,2,0.501878023147583,False
1510070,7,7,0.5790126919746399,False
1114430,2,2,0.6563203930854797,False
1737070,36,36,0.6242365837097168,False
405640,1,1,0.4247044026851654,False
31280,2,2,0.4023668169975281,False
2795000,7,7,0.5346706509590149,False
2004640,27,27,0.5199670195579529,False
1372320,2,2,0.567459225654602,False
1392820,2,2,0.4938824772834778,False
260210,1,1,0.20103317499160767,False
542550,2,2,0.6509044766426086,False
2024390,27,27,0.416041761636734,False
250740,36,36,0.41850370168685913,False
1671410,2,2,0.4611479938030243,False
42850,21,21,0.46220967173576355,False
1060820,2,2,0.51323401927948,False
257750,2,2,0.5718396306037903,False
2820,21,21,0.48439010977745056,False
333770,2,2,0.30729618668556213,False
1350840,36,36,0.5360950231552124,False
598700,27,27,0.5913844704627991,False
1094530,27,27,0.4365486800670624,False
1617090,2,2,0.5310567617416382,False
3468150,2,2,0.5694935321807861,False
741390,11,11,0.2747819125652313,False
1586960,36,36,0.3189232647418976,False
1191580,36,36,0.5829627513885498,False
3083300,11,11,0.5351062417030334,False
1433570,2,2,0.5176498293876648,False
966430,27,27,0.37510931491851807,False
1408220,27,27,0.3917882740497589,False
296790,2,2,0.5388070344924927,False
2941730,2,2,0.50885409116745,False
1957330,2,2,0.4979269504547119,False
696920,27,27,0.5984745621681213,False
546050,2,2,0.4642488956451416,False
2375040,2,2,0.5898275971412659,False
2179170,2,2,0.5047903060913086,False
1310990,27,27,0.3495658040046692,False
416210,21,21,0.486284464597702,False
609150,27,27,0.45680925250053406,False
1255650,2,2,0.5793511271476746,False
2391900,2,2,0.468563973903656,False
1365900,2,2,0.6109285950660706,False
630140,21,21,0.4384559690952301,False
406120,2,2,0.5972299575805664,False
1763030,27,27,0.4146094024181366,False
3323590,21,21,0.5595391988754272,False
2653940,23,23,0.5880088806152344,False
257170,21,21,0.44592398405075073,False
1565660,2,2,0.5719131231307983,False
3475100,11,11,0.5375961065292358,False
745010,27,27,0.5762751698493958,False
331580,2,2,0.43370363116264343,False
702120,27,27,0.39592379331588745,False
393530,36,36,0.5870810747146606,False
952150,36,36,0.5416833162307739,False
3043310,2,2,0.5535366535186768,False
354380,2,2,0.5718749165534973,False
345220,12,12,0.43665897846221924,False
1823600,21,21,0.37702086567878723,False
1282740,2,2,0.28802111744880676,False
900010,36,36,0.47371208667755127,False
1571280,2,2,0.41464465856552124,False
272990,2,2,0.7266975045204163,True
696160,11,11,0.6023080945014954,False
325470,12,12,0.4155653715133667,False
458480,2,2,0.5022540092468262,False
1127110,7,7,0.5093820691108704,False
658530,23,23,0.49569547176361084,False
2196980,36,36,0.5520703792572021,False
512250,30,30,0.42871779203414917,False
383140,2,2,0.5818578600883484,False
2572560,2,2,0.6050873398780823,False
3211690,2,2,0.4469117522239685,False
273570,2,2,0.3994959592819214,False
1949960,2,2,0.44975414872169495,False
2984660,36,36,0.41493067145347595,False
1278150,2,2,0.5688941478729248,False
250180,23,23,0.4916762113571167,False
1669490,2,2,0.5618046522140503,False
1113240,28,28,0.03944867104291916,False
1225780,36,36,0.6402664184570312,False
1429850,1,1,0.4812869131565094,False
734730,11,11,0.41080328822135925,False
766150,7,7,0.6016318798065186,False
2142160,11,11,0.4483180344104767,False
801070,2,2,0.5805042386054993,False
1347550,21,21,0.4172206521034241,False
336940,2,2,0.5010491013526917,False
1093280,2,2,0.7533832788467407,True
775900,21,21,0.4072135090827942,False
622220,20,20,0.15718767046928406,False
3071670,11,11,0.20226070284843445,False
1728870,36,36,0.3677330017089844,False
1149590,12,12,0.6275012493133545,False
21120,1,1,0.41746535897254944,False
1265780,23,23,0.5333909392356873,False
234390,1,1,0.3791288435459137,False
1451720,2,2,0.6014481782913208,False
2216130,36,36,0.6306372880935669,False
391440,11,11,0.6632716059684753,False
871510,2,2,0.5991273522377014,False
1242980,2,2,0.4921708405017853,False
609920,2,2,0.5326229929924011,False
2234150,23,23,0.5315420627593994,False
2438230,11,11,0.5115978717803955,False
1021210,21,21,0.3516943156719208,False
595080,2,2,0.6185570955276489,False
3980,21,21,0.5241543650627136,False
3378000,36,36,0.48740169405937195,False
1368950,27,27,0.34838956594467163,False
2994910,2,2,0.5302849411964417,False
546220,2,2,0.4165615439414978,False
