appid,best_community_idx,best_community_id,similarity
315940,7,7,0.6612128615379333
988340,7,7,0.6611072421073914
562410,7,7,0.6594871282577515
849360,7,7,0.6588998436927795
578470,7,7,0.6587732434272766
858840,7,7,0.658414900302887
806770,7,7,0.6573796272277832
1155340,7,7,0.656214714050293
428430,7,7,0.6560130715370178
307030,7,7,0.6552132368087769
3323000,7,7,0.654260516166687
711600,7,7,0.6530675888061523
2822370,7,7,0.6519149541854858
526920,7,7,0.6515491008758545
1022130,7,7,0.6510692238807678
1433940,7,7,0.6493319869041443
674550,7,7,0.6487454175949097
862370,7,7,0.6487136483192444
787040,7,7,0.6477270126342773
1917850,7,7,0.6472104787826538
1702180,7,7,0.6453970670700073
1366510,7,7,0.6439871788024902
325260,7,7,0.6438245177268982
306410,7,7,0.6431480050086975
356730,7,7,0.6431080102920532
679770,7,7,0.6425367593765259
816650,7,7,0.6425219178199768
713160,7,7,0.642392635345459
352680,7,7,0.6420387625694275
398670,7,7,0.6420387625694275
768590,7,7,0.6413708925247192
347930,7,7,0.6412813663482666
872990,7,7,0.6402896046638489
997270,7,7,0.640200138092041
2961530,7,7,0.639825701713562
936010,7,7,0.638902485370636
264200,7,7,0.6377505660057068
334310,7,7,0.6373375654220581
758220,7,7,0.6372331380844116
1034060,7,7,0.6367056369781494
1206930,7,7,0.6366286277770996
2934190,7,7,0.6362278461456299
887760,7,7,0.6361854076385498
534480,7,7,0.636095404624939
582810,7,7,0.6353106498718262
3334280,7,7,0.6351945996284485
709470,7,7,0.6347308158874512
977210,7,7,0.6345140933990479
1114430,7,7,0.6338340044021606
1512940,7,7,0.6335312724113464
432780,7,7,0.6326517462730408
538100,7,7,0.6322895288467407
534270,7,7,0.6321528553962708
573730,7,7,0.631900429725647
1292540,7,7,0.6315433382987976
3175860,7,7,0.6313018798828125
1213230,7,7,0.6309704184532166
3300850,7,7,0.6307328939437866
1733500,7,7,0.6294577121734619
549760,7,7,0.6293372511863708
342350,7,7,0.6291402578353882
674560,7,7,0.6290996670722961
1914730,7,7,0.6289879083633423
429720,7,7,0.6289064288139343
488580,7,7,0.6287855505943298
1060810,7,7,0.6287200450897217
535840,7,7,0.628690242767334
710640,7,7,0.6283203959465027
912810,7,7,0.6280562877655029
525210,7,7,0.6275322437286377
510060,7,7,0.6270964741706848
361830,7,7,0.626884937286377
1085150,7,7,0.626352071762085
1033580,7,7,0.6261966228485107
2179290,7,7,0.6257903575897217
386050,7,7,0.6254444718360901
676570,7,7,0.6254097819328308
732090,7,7,0.6253132224082947
697490,7,7,0.6250258684158325
502770,7,7,0.6246048212051392
878970,7,7,0.6241244077682495
523940,7,7,0.6240120530128479
330950,7,7,0.6236597895622253
463130,7,7,0.6235737204551697
2171630,7,7,0.623375654220581
675910,7,7,0.6229721307754517
875340,7,7,0.6227689981460571
1232570,7,7,0.6223757266998291
422250,7,7,0.6221952438354492
1018800,7,7,0.6220880150794983
657590,7,7,0.6218172907829285
578890,7,7,0.6215911507606506
386090,7,7,0.621182382106781
3694360,7,7,0.6209630370140076
412430,7,7,0.6209333539009094
449610,7,7,0.6209064722061157
950700,7,7,0.6209033131599426
3479710,7,7,0.6206340193748474
454330,7,7,0.6205628514289856
277910,7,7,0.6202694773674011
1649290,7,7,0.6201430559158325
2262770,7,7,0.6199004054069519
1149590,7,7,0.6198429465293884
1045110,7,7,0.6198332905769348
3173050,7,7,0.619317352771759
487730,7,7,0.6192853450775146
200190,6,6,0.619236409664154
2868430,7,7,0.6190893054008484
700160,7,7,0.6187784075737
512770,7,7,0.6182493567466736
353740,7,7,0.618222713470459
545750,7,7,0.6181148886680603
1577670,7,7,0.6176348328590393
1722310,7,7,0.6174147129058838
895610,7,7,0.6172958612442017
514830,7,7,0.6172191500663757
435790,7,7,0.6170702576637268
1098940,6,6,0.6169942021369934
1044770,7,7,0.6159889698028564
1232060,7,7,0.6157341599464417
415900,7,7,0.6157146692276001
655360,7,7,0.6156711578369141
219070,7,7,0.6155312657356262
542550,7,7,0.6153789758682251
461180,7,7,0.6153693795204163
1268870,7,7,0.6149994730949402
3018410,7,7,0.6148688197135925
2000330,7,7,0.6145205497741699
1686290,7,7,0.6140888929367065
590840,7,7,0.6137092113494873
1485900,7,7,0.6136496067047119
2793960,7,7,0.6131718158721924
1247640,7,7,0.6125848293304443
680390,7,7,0.6125236749649048
995310,7,7,0.6123296618461609
458490,7,7,0.6122016310691833
993400,7,7,0.610820472240448
637110,7,7,0.6103687882423401
990390,7,7,0.6100844144821167
447890,7,7,0.6099631786346436
1239690,7,7,0.609333872795105
678520,6,6,0.609170138835907
635390,7,7,0.6091668605804443
929320,7,7,0.6090680360794067
612810,7,7,0.6088892817497253
842640,7,7,0.6088808178901672
1074340,7,7,0.6088656187057495
2246880,7,7,0.6086601614952087
391440,7,7,0.6085802912712097
3080880,7,7,0.6085382103919983
513210,7,7,0.6085008978843689
33760,7,7,0.608146607875824
732370,7,7,0.6078973412513733
1161870,7,7,0.6078299880027771
3051380,7,7,0.6073035001754761
529670,7,7,0.6072933673858643
946030,7,7,0.6069883108139038
1286880,7,7,0.6065705418586731
876140,7,7,0.6064867377281189
1239050,7,7,0.6062641739845276
502740,7,7,0.6060553193092346
748730,7,7,0.6059191823005676
1634100,7,7,0.6052607297897339
562210,7,7,0.6049925088882446
1213700,7,7,0.6049513816833496
1305730,7,7,0.6048038601875305
467390,7,7,0.6043052673339844
370570,7,7,0.6038624048233032
2085040,7,7,0.6037622094154358
988240,7,7,0.603520393371582
2354000,7,7,0.6034243702888489
1097870,7,7,0.6033154129981995
673540,7,7,0.603043794631958
1120320,7,7,0.6030253171920776
1097130,7,7,0.6029144525527954
404860,7,7,0.6029016375541687
2110820,7,7,0.6028952598571777
2559360,7,7,0.6028186082839966
1610120,7,7,0.6025621891021729
416310,7,7,0.6018420457839966
674170,7,7,0.6018107533454895
910830,7,7,0.6017684936523438
435010,7,7,0.6012411713600159
415530,7,7,0.601028561592102
927250,7,7,0.6010239720344543
849980,7,7,0.6009255647659302
839630,7,7,0.600558876991272
1485350,7,7,0.6003682613372803
3400650,7,7,0.6000456809997559
2111870,7,7,0.5999699234962463
1961300,7,7,0.5997529625892639
655290,7,7,0.599401593208313
630460,7,7,0.5990618467330933
595080,7,7,0.5990086793899536
1020470,7,7,0.5989218950271606
1121530,7,7,0.5979453325271606
2719190,7,7,0.5978817343711853
1486140,7,7,0.5974380373954773
3168920,7,7,0.5972540974617004
1235100,7,7,0.5969029068946838
516000,7,7,0.5965877175331116
857480,7,7,0.5956592559814453
2951770,7,7,0.5952485799789429
574150,7,7,0.5948386192321777
2844500,7,7,0.594728946685791
399520,7,7,0.5945775508880615
276360,7,7,0.5943689942359924
1720090,7,7,0.5941928625106812
849100,7,7,0.5939269661903381
1008710,7,7,0.593433678150177
544650,7,7,0.5928106307983398
499110,7,7,0.5924126505851746
1494500,7,7,0.5922874212265015
496030,7,7,0.5921899080276489
2232840,7,7,0.592017412185669
705150,7,7,0.59180748462677
974600,7,7,0.5916919708251953
622200,7,7,0.5915713906288147
995900,7,7,0.591543436050415
1277950,7,7,0.5915182828903198
3122150,7,7,0.591326892375946
416060,7,7,0.5910863876342773
569150,7,7,0.5910492539405823
1196390,7,7,0.5910492539405823
554560,7,7,0.5910492539405823
908310,6,6,0.5909106731414795
809950,7,7,0.5907434225082397
2378710,7,7,0.5906700491905212
919370,7,7,0.5906611084938049
1367510,7,7,0.590603232383728
1028860,7,7,0.5903353095054626
912910,7,7,0.5902966856956482
1013650,7,7,0.5902363657951355
761170,7,7,0.5901232957839966
701750,7,7,0.5901088714599609
1365900,7,7,0.5899744629859924
2181720,7,7,0.5892847180366516
3498580,7,7,0.5890153646469116
724030,7,7,0.5889760851860046
457580,7,7,0.5887919068336487
532170,7,7,0.5884850025177002
1336040,7,7,0.5884454250335693
836420,7,7,0.5882840156555176
893450,6,6,0.5882754921913147
1059880,7,7,0.5880696773529053
1331090,7,7,0.5880301594734192
236010,7,7,0.5876142382621765
2067790,7,7,0.5874512791633606
2484130,7,7,0.5874404907226562
605180,6,6,0.5874226689338684
3356790,7,7,0.5868130326271057
1053560,7,7,0.586624801158905
664800,7,7,0.5865578055381775
252850,7,7,0.5863616466522217
263760,7,7,0.5863476395606995
16200,7,7,0.5857416391372681
584640,7,7,0.5853468179702759
2357950,7,7,0.584747314453125
1650860,7,7,0.5845812559127808
998790,7,7,0.5840805172920227
516430,7,7,0.583620548248291
708710,7,7,0.5835530161857605
2507640,7,7,0.5835015773773193
1012560,7,7,0.5834878087043762
3224960,7,7,0.5833264589309692
519160,7,7,0.5831432342529297
1356480,7,7,0.5830709934234619
2572560,7,7,0.5830481648445129
2347940,7,7,0.582863450050354
328730,6,6,0.5825966596603394
945590,7,7,0.5825855135917664
1065460,7,7,0.5825205445289612
2903660,7,7,0.5824612379074097
1225780,7,7,0.58244788646698
1335240,7,7,0.5823948383331299
3320800,7,7,0.5823058485984802
355020,7,7,0.5821125507354736
857080,7,7,0.5814340114593506
606890,6,6,0.5813570618629456
395900,7,7,0.5813418626785278
2255190,7,7,0.5812419652938843
690260,7,7,0.5812062621116638
2185030,7,7,0.5812031030654907
5330,7,7,0.5810192227363586
1187510,7,7,0.5808804035186768
629390,7,7,0.5807923674583435
1195290,7,7,0.5807555913925171
275390,7,7,0.5807489156723022
801600,6,6,0.5807273387908936
1588910,7,7,0.58051997423172
1451720,7,7,0.5803401470184326
1173240,7,7,0.5800768733024597
1116290,7,7,0.5797079801559448
1164850,7,7,0.5796688795089722
850040,7,7,0.579668402671814
879050,7,7,0.5796153545379639
1492420,7,7,0.579475462436676
805420,7,7,0.5789610743522644
329000,7,7,0.578935980796814
1999170,7,7,0.5787455439567566
2881800,7,7,0.5786784887313843
987980,7,7,0.5786162614822388
1140890,7,7,0.5785518288612366
493180,6,6,0.5785365104675293
270110,7,7,0.578427255153656
1030360,7,7,0.5779564380645752
871510,7,7,0.577953040599823
310080,6,6,0.5777413249015808
280740,7,7,0.5776652693748474
573550,7,7,0.5776514410972595
721080,7,7,0.5770225524902344
425940,7,7,0.5769687294960022
502600,7,7,0.5768346786499023
1878970,7,7,0.5767526030540466
528250,7,7,0.5766097903251648
406120,7,7,0.5762810111045837
696920,7,7,0.5759574174880981
2281360,7,7,0.5759174227714539
3468150,7,7,0.5758840441703796
2260930,7,7,0.5754290819168091
3130500,7,7,0.5753763914108276
1220150,7,7,0.5753580927848816
1126270,7,7,0.5752964019775391
1022780,7,7,0.5751474499702454
343070,7,7,0.5750904083251953
1416130,7,7,0.5750761032104492
1274600,7,7,0.5750650763511658
395860,7,7,0.5750117301940918
1035760,7,7,0.5747625827789307
493770,7,7,0.5745946764945984
