node_id,community_id,community_size
1933640,16,116
1138060,16,116
696110,16,116
3243190,16,116
2919650,16,116
3116620,16,116
299360,16,116
1070190,16,116
2494780,16,116
983640,16,116
1048350,16,116
976700,16,116
1693250,16,116
2168450,16,116
1322630,16,116
483980,16,116
1093910,17,28
335420,17,28
366730,17,28
2396740,17,28
1902710,17,28
638650,17,28
1599470,17,28
7210,17,28
372360,17,28
380120,17,28
1532510,17,28
1867510,17,28
328230,17,28
346950,17,28
382460,17,28
1992770,17,28
869840,17,28
840720,17,28
354770,17,28
1307560,17,28
1939560,17,28
58560,17,28
399790,17,28
301710,17,28
385070,17,28
832440,17,28
341310,17,28
1724840,17,28
1170080,18,120
292600,18,120
620570,18,120
107300,18,120
795990,18,120
1020730,18,120
1359630,18,120
3090870,18,120
896040,18,120
1286710,18,120
1071680,18,120
926390,18,120
828890,18,120
2923560,18,120
886590,18,120
2312480,18,120
1292520,18,120
2726450,18,120
2859800,18,120
969170,18,120
863900,18,120
1477570,18,120
812560,18,120
974870,18,120
2005160,18,120
1717570,18,120
337820,18,120
1951230,18,120
395970,18,120
379210,18,120
2878000,18,120
903910,18,120
2687990,18,120
2563550,18,120
354200,18,120
1250960,18,120
1031920,18,120
938270,18,120
578840,18,120
326480,18,120
3265280,18,120
2708280,18,120
397740,18,120
1011130,18,120
2128140,18,120
1074030,18,120
501840,18,120
345090,18,120
798480,18,120
324610,18,120
2414630,18,120
1680550,18,120
944910,18,120
2121150,18,120
296770,18,120
780710,18,120
1318560,18,120
676510,18,120
2288210,18,120
1764700,18,120
874400,18,120
2377910,18,120
369030,18,120
3184480,18,120
525680,18,120
406730,18,120
1054560,18,120
2135030,18,120
3422550,18,120
649990,18,120
600290,18,120
943700,18,120
1425760,18,120
1866710,18,120
1315680,18,120
2186000,18,120
652700,18,120
370590,18,120
1524530,18,120
1765780,18,120
2180700,18,120
3440610,18,120
800700,18,120
2456300,18,120
825730,18,120
304690,18,120
592300,18,120
1352850,18,120
