appid,best_community_idx,best_community_id,similarity
534480,2,2,0.6584705710411072
3334280,2,2,0.6581296920776367
582810,2,2,0.6577010154724121
271850,21,21,0.6569483280181885
1107720,11,11,0.6566631197929382
1114430,2,2,0.6563203930854797
1512940,2,2,0.6561319231987
329000,36,36,0.6552084684371948
2191480,11,11,0.6548423171043396
432780,2,2,0.6544771194458008
412430,11,11,0.6527613401412964
488580,2,2,0.6516989469528198
3694360,2,2,0.6514945030212402
429720,2,2,0.651268482208252
342350,2,2,0.6510911583900452
542550,2,2,0.6509044766426086
912810,2,2,0.6508685350418091
535840,2,2,0.6499276161193848
1033580,2,2,0.648973822593689
33670,32,32,0.6489371657371521
676570,2,2,0.6479172110557556
1086160,23,23,0.6478632688522339
13530,1,1,0.6475595235824585
697490,2,2,0.647516131401062
2179290,2,2,0.6471461653709412
538100,2,2,0.6468720436096191
386050,2,2,0.6466661691665649
523940,2,2,0.6464985013008118
330950,2,2,0.645926833152771
355020,12,12,0.6455967426300049
406220,27,27,0.6451333165168762
657590,2,2,0.6438750624656677
416310,12,12,0.6436867713928223
700160,2,2,0.6432115435600281
487730,2,2,0.6429608464241028
1031120,32,32,0.6427328586578369
1649290,2,2,0.6424522995948792
562210,2,2,0.6421809196472168
516000,7,7,0.6416991949081421
1225780,36,36,0.6402664184570312
1577670,2,2,0.6401193141937256
353740,2,2,0.6399240493774414
3080880,27,27,0.6392683386802673
2171630,2,2,0.638691782951355
1722310,2,2,0.63866126537323
415900,2,2,0.6382805109024048
655360,2,2,0.6380173563957214
219070,2,2,0.6376968622207642
461180,2,2,0.6376330256462097
1917850,2,2,0.6372863054275513
1356480,2,2,0.6364485025405884
513320,32,32,0.6361976265907288
1485900,2,2,0.6359642148017883
265970,32,32,0.6355732083320618
950700,2,2,0.6348868608474731
679770,2,2,0.6348358988761902
946030,2,2,0.6342964172363281
2351120,23,23,0.6337775588035583
680390,2,2,0.6335015296936035
1007810,36,36,0.6334756016731262
200190,7,7,0.6331883072853088
993400,2,2,0.6327738761901855
681240,23,23,0.6321783661842346
990390,2,2,0.6319524049758911
637110,2,2,0.6317195296287537
1996210,36,36,0.6314346194267273
1012560,9,9,0.6310269236564636
1161870,2,2,0.6307993531227112
2216130,36,36,0.6306372880935669
513210,2,2,0.6306120157241821
1074340,2,2,0.6302217245101929
33760,2,2,0.6298874616622925
1195290,11,11,0.6295864582061768
573730,10,10,0.6289696097373962
1149590,12,12,0.6275012493133545
1305730,2,2,0.627099871635437
467390,2,2,0.6265615224838257
433300,27,27,0.6263737678527832
404860,2,2,0.6254282593727112
370570,2,2,0.6253236532211304
2844500,2,2,0.625063419342041
2110820,2,2,0.6245776414871216
1737070,36,36,0.6242365837097168
879050,27,27,0.6239563226699829
493600,7,7,0.623591423034668
513590,7,7,0.6230104565620422
1120320,2,2,0.6224098205566406
1485350,2,2,0.6220311522483826
1120370,36,36,0.6217759251594543
1961300,2,2,0.6212633848190308
630460,2,2,0.6212483048439026
2412490,23,23,0.6206588745117188
