genre,game_count,death_rate
"Action, Adventure, Casual, Indie, Simulation, Early Access",11,0.7272727272727273
"Action, Early Access",36,0.7222222222222222
Action,687,0.7205240174672489
RPG,320,0.715625
"Simulation, Strategy",277,0.703971119133574
"Action, Simulation, Strategy",37,0.7027027027027027
"Adventure, Massively Multiplayer, RPG, Free To Play",10,0.7
"Action, Casual, Free To Play",10,0.7
"Action, Indie, Racing, Simulation, Sports",13,0.6923076923076923
"Adventure, Casual, Indie, Simulation, Early Access",13,0.6923076923076923
"Free To Play, Utilities",13,0.6923076923076923
"Indie, Simulation, Strategy, Early Access",64,0.6875
"Casual, Indie, Simulation, Free To Play",51,0.6862745098039216
"Casual, Free To Play, Indie, Strategy",19,0.6842105263157895
"Simulation, Free To Play",22,0.6818181818181818
"Simulation, Strategy, Early Access",37,0.6756756756756757
"Indie, RPG, Simulation",40,0.675
"Action, Adventure, Indie, RPG, Simulation, Strategy",18,0.6666666666666666
"RPG, Early Access",12,0.6666666666666666
"Adventure, Casual, Indie, RPG, Early Access",12,0.6666666666666666
"Action, Indie, Simulation, Early Access",18,0.6666666666666666
"Indie, RPG, Simulation, Strategy, Early Access",18,0.6666666666666666
"Racing, Simulation",12,0.6666666666666666
"Simulation, Sports",59,0.6610169491525424
"Action, Adventure, Indie, Simulation, Early Access",23,0.6521739130434783
"Casual, Indie, Simulation, Strategy, Free To Play",23,0.6521739130434783
"Racing, Sports",20,0.65
"Action, Adventure, RPG, Early Access",17,0.6470588235294118
"Action, Strategy",87,0.6436781609195402
"Adventure, Casual, RPG, Simulation",14,0.6428571428571429
"Action, Adventure",512,0.642578125
"Utilities, Early Access",11,0.6363636363636364
"Adventure, Casual, Indie, RPG, Simulation, Early Access",11,0.6363636363636364
"Action, RPG",167,0.6227544910179641
"Action, Adventure, RPG",209,0.6028708133971292
"Action, Adventure, Indie, Massively Multiplayer, RPG",10,0.6
"Strategy, Free To Play",15,0.6
"Indie, RPG, Simulation, Early Access",10,0.6
"Massively Multiplayer, Simulation, Strategy, Free To Play",10,0.6
"Action, RPG, Simulation, Strategy",10,0.6
"Action, Free To Play",70,0.5714285714285714
"Action, Adventure, Massively Multiplayer, RPG",11,0.5454545454545454
"Casual, Strategy, Free To Play",11,0.5454545454545454
"Adventure, Indie, Simulation, Strategy",24,0.5416666666666666
"RPG, Strategy, Free To Play",15,0.5333333333333333
"Action, RPG, Simulation",12,0.5
"Action, Adventure, Racing",12,0.5
"Massively Multiplayer, Strategy, Free To Play",10,0.5
"Action, Massively Multiplayer, RPG, Free To Play",11,0.45454545454545453
"Massively Multiplayer, RPG, Free To Play",26,0.4230769230769231
"RPG, Free To Play",10,0.4
"Action, Adventure, Massively Multiplayer, RPG, Free To Play",29,0.3793103448275862
"Action, Massively Multiplayer, Free To Play",16,0.3125
"Action, Strategy, Free To Play",12,0.16666666666666666
"Action, Adventure, RPG, Free To Play",12,0.16666666666666666
